Word,manual_modality
eleven,Amodal
else,Amodal
even,Amodal
even,Amodal
even,Amodal
even,Amodal
even,Amodal
even,Amodal
even,Amodal
even,Amodal
even,Amodal
even,Amodal
even,Amodal
even,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
for,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
that,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
the,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
this,Amodal
those,Amodal
those,Amodal
those,Amodal
those,Amodal
those,Amodal
though,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
to,Amodal
too,Amodal
too,Amodal
too,Amodal
too,Amodal
too,Amodal
too,Amodal
too,Amodal
too,Amodal
twelfth,Amodal
twelve,Amodal
twenty,Amodal
twenty,Amodal
two,Amodal
two,Amodal
two,Amodal
two,Amodal
two,Amodal
were,Amodal
were,Amodal
were,Amodal
were,Amodal
were,Amodal
were,Amodal
were,Amodal
were,Amodal
were,Amodal
were,Amodal
were,Amodal
were,Amodal
were,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
what,Amodal
when,Amodal
when,Amodal
when,Amodal
when,Amodal
when,Amodal
when,Amodal
when,Amodal
when,Amodal
when,Amodal
when,Amodal
when,Amodal
when,Amodal
when,Amodal
when,Amodal
when,Amodal
whenever,Amodal
where,Amodal
where,Amodal
where,Amodal
where,Amodal
where,Amodal
where,Amodal
where,Amodal
where,Amodal
where,Amodal
where,Amodal
where,Amodal
where,Amodal
where,Amodal
where,Amodal
where,Amodal
where,Amodal
which,Amodal
which,Amodal
which,Amodal
which,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
with,Amodal
without,Amodal
would,Amodal
would,Amodal
would,Amodal
would,Amodal
would,Amodal
would,Amodal
would,Amodal
would,Amodal
would,Amodal
would,Amodal
would,Amodal
would,Amodal
almost,Amodal
almost,Amodal
almost,Amodal
almost,Amodal
almost,Amodal
am,Amodal
because,Amodal
because,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
can,Amodal
ever,Amodal
ever,Amodal
fifteen,Amodal
first,Amodal
first,Amodal
five,Amodal
five,Amodal
five,Amodal
five,Amodal
five,Amodal
five,Amodal
four,Amodal
four,Amodal
four,Amodal
four,Amodal
four,Amodal
from,Amodal
from,Amodal
from,Amodal
from,Amodal
from,Amodal
from,Amodal
from,Amodal
from,Amodal
from,Amodal
from,Amodal
from,Amodal
from,Amodal
from,Amodal
had,Amodal
had,Amodal
had,Amodal
had,Amodal
had,Amodal
had,Amodal
had,Amodal
had,Amodal
had,Amodal
had,Amodal
had,Amodal
have,Amodal
have,Amodal
have,Amodal
have,Amodal
have,Amodal
have,Amodal
have,Amodal
have,Amodal
have,Amodal
have,Amodal
have,Amodal
have,Amodal
have,Amodal
have,Amodal
have,Amodal
have,Amodal
have,Amodal
