Word,manual_modality
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
that,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
the,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
this,amodal
those,amodal
those,amodal
those,amodal
those,amodal
those,amodal
though,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
to,amodal
too,amodal
too,amodal
too,amodal
too,amodal
too,amodal
too,amodal
too,amodal
too,amodal
twelfth,amodal
twelve,amodal
twenty,amodal
twenty,amodal
two,amodal
two,amodal
two,amodal
two,amodal
two,amodal
were,amodal
were,amodal
were,amodal
were,amodal
were,amodal
were,amodal
were,amodal
were,amodal
were,amodal
were,amodal
were,amodal
were,amodal
were,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
