"","...1","Word","VIHI_ID","group","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD","Max_strength.perceptual","Minkowski3.perceptual","Exclusivity.perceptual","Dominant.perceptual","Max_strength.action","Minkowski3.action","Exclusivity.action","Dominant.action","Max_strength.sensorimotor","Minkowski3.sensorimotor","Exclusivity.sensorimotor","Dominant.sensorimotor","sampling_type","utt_loc","uttnum","xds","speaker","Modality"
"1",1,"much","TD_445_217","TD",1.875,0.8125,1.4375,0.9375,0.6875,3.0625,0.476190476,1.142857143,1.80952381,0.761904762,0.380952381,2.028957039,1.721191448,1.998958062,1.806239187,1.701714821,2.174664725,1.123345344,1.651838802,1.88730092,1.374945886,1.023532631,3.0625,3.419109779,0.269503546,"Visual",1.80952381,2.001941749,0.3125,"Head",3.0625,3.634084265,0.200355793,"Visual","high-volubility","Word2",2695,"C","FA1","Amodal"
"2",2,"living","VI_001_676","VI",3.2,2.2,2.85,3.8,2.4,3.8,2.736842105,3.157894737,4,3.315789474,2.894736842,2.092593455,2.353049533,2.433861995,2.067289097,2.392972166,1.735086832,1.694504361,1.740471133,1.414213562,1.765491168,1.822535988,3.8,5.750239436,0.087671233,"Interoceptive",4,5.61153043,0.078431373,"Head",4,7.158533134,0.052393719,"Head","high-volubility","Word4",41819,"A","FA3","Multimodal"
"3",3,"up","TD_445_217","TD",0.6,0,1.333333333,2.066666667,0,4.133333333,2.55,3.05,2.7,1.65,2.15,1.352246808,0,2.023669463,2.250925735,0,1.457329587,2.163695669,2.064104241,2.178845663,2.007223796,2.033275812,4.133333333,4.344994234,0.508196721,"Visual",3.05,4.292062154,0.115702479,"Hand_arm",4.133333333,5.441208923,0.204283361,"Visual","random","Word4",3196,"C","FA1","Visual"
"4",4,"of","VI_018_924","VI",1.5625,0.625,0.625,1.0625,0.625,1.0625,0.176470588,0.176470588,0.764705882,0.470588235,0,2.032035105,1.707825128,1.707825128,2.015564437,1.707825128,1.982212568,0.727606875,0.727606875,1.678146737,1.374665735,0,1.5625,1.908003627,0.168539326,"Auditory",0.764705882,0.825425802,0.481481481,"Head",1.5625,1.958166969,0.218508997,"Auditory","random","Word8",44490,"O","FA1","Amodal"
"5",5,"look","TD_473_844","TD",0,0,0,0.055555556,0,4.222222222,0.35,0.4,4.55,0.55,0.5,0,0,0,0.23570226,0,1.437135859,0.812727701,0.994722918,0.825577947,1.316894273,1.147078669,4.222222222,4.222225428,0.987012987,"Visual",4.55,4.556403253,0.661417323,"Head",4.55,5.538191811,0.428123366,"Head","random","Word1",20370,"C","FA1","Visual"
"6",6,"so","VI_015_195","VI",1.647058824,0.176470588,0.176470588,0.588235294,0.176470588,0.941176471,0.055555556,0.277777778,1.166666667,0.944444444,0.055555556,1.800735144,0.727606875,0.727606875,1.416810835,0.727606875,1.819017188,0.23570226,0.751903902,1.823054967,1.589384721,0.23570226,1.647058824,1.767511876,0.396825397,"Auditory",1.166666667,1.3484959,0.444444444,"Head",1.647058824,1.997834424,0.256450764,"Auditory","high-volubility","Word2",45145,"C","FA1","Amodal"
"7",7,"you","VI_047_440","VI",2.5,0.555555556,3,3.722222222,1.388888889,3.555555556,3.263157895,3.526315789,4.421052632,3.842105263,3.526315789,2.007339474,1.247219129,1.814970426,1.447332457,1.883016631,1.68809751,2.207112373,2.091475318,1.304513084,1.863782233,2.245202813,3.722222222,5.217055148,0.21509434,"Interoceptive",4.421052632,6.427795996,0.062322946,"Head",4.421052632,7.414255961,0.116076916,"Head","high-volubility","Word4",43424,"A","FA1","Multimodal"
"8",8,"was","VI_047_440","VI",0.611111111,0.055555556,0.111111111,1.166666667,0.055555556,0.833333333,0.263157895,0.315789474,1.842105263,0.789473684,0.105263158,1.195033295,0.23570226,0.323380833,1.886484437,0.23570226,1.294785924,0.733492806,0.749268649,2.217685427,1.474936811,0.315301768,1.166666667,1.338234278,0.392156863,"Interoceptive",1.842105263,1.893964923,0.523809524,"Head",1.842105263,2.094654009,0.290537328,"Head","high-volubility","Word5",43508,"C","FA1","Amodal"
"9",9,"go","TD_463_254","TD",1.736842105,0.473684211,0.736842105,1.894736842,0.578947368,2.421052632,3.6,1.95,2.6,1.75,1.75,1.939132259,1.306752593,1.446916463,2.078854835,1.346426937,2.090076805,1.846761034,1.820208201,1.875043859,1.996707817,1.888329811,2.421052632,2.997514045,0.248322148,"Visual",3.6,4.35092903,0.158798283,"Foot_leg",3.6,4.781213604,0.160388821,"Foot_leg","random","Word1",345,"A","FC1","Amodal"
"10",10,"big","VI_037_868","VI",0.944444444,0.166666667,2.722222222,0.333333333,0.111111111,3.888888889,1,1.9,3.1,1.35,0.95,1.304842664,0.707106781,1.994272846,0.9701425,0.471404521,1.875190622,1.297771369,1.997366687,1.916685736,1.631111988,1.394538218,3.888888889,4.306568536,0.462585034,"Visual",3.1,3.447312897,0.259036145,"Head",3.888888889,4.9439018,0.229419703,"Visual","high-volubility","Word5",39335,"C","FA1","Multimodal"
"11",11,"think","TD_463_254","TD",1.117647059,0.294117647,0.529411765,3.529411765,0.352941176,1,0.095238095,0.142857143,4.761904762,0.095238095,0.19047619,1.691240408,1.212678125,1.504893977,1.972233729,1.221739358,1.695582496,0.300792604,0.358568583,1.091089451,0.300792604,0.679635757,3.529411765,3.598015171,0.474137931,"Interoceptive",4.761904762,4.762074597,0.882882883,"Head",4.761904762,5.366714848,0.385380523,"Head",NA,"Word2",1089,"B","FA1","Multimodal"
"12",12,"and","VI_002_336","VI",1.842105263,0.157894737,0.421052632,0.473684211,0.210526316,1.315789474,0.315789474,0.631578947,0.947368421,1.368421053,0.368421053,2.115108558,0.688247202,1.304513084,0.964274111,0.713282504,1.857496271,1.157230006,1.570934835,1.71508614,1.94965884,1.211542924,1.842105263,2.058531763,0.380952381,"Auditory",1.368421053,1.553087555,0.289855072,"Mouth",1.842105263,2.318893547,0.209150327,"Auditory","random","Word12",38044,"A","FA1","Amodal"
"13",13,"are","VI_004_415","VI",1.5625,0.375,0.375,0.6875,0.3125,0.9375,1.285714286,1.285714286,2.047619048,1.666666667,1.047619048,1.998958062,1.258305739,1.258305739,1.701714821,1.25,1.806239187,1.847778589,1.764733893,1.909874092,1.906130461,1.687488977,1.5625,1.721256673,0.294117647,"Auditory",2.047619048,2.650267842,0.136363636,"Head",2.047619048,2.873030897,0.14979445,"Head","random","Word1",25118,"C","FA1","Amodal"
"14",14,"this","VI_012_562","VI",1.333333333,0.714285714,1.142857143,0.619047619,0.285714286,2.142857143,1.052631579,1.526315789,2.105263158,1.210526316,0.894736842,1.770122406,1.488047618,1.590148241,1.203170415,0.783763813,2.007130147,1.928548222,2.143942916,2.306867449,1.960128889,1.663154193,2.142857143,2.428803307,0.297709924,"Visual",2.105263158,2.548035503,0.178294574,"Head",2.142857143,3.137010437,0.142554829,"Visual","random","Word2",24470,"A","UC1","Amodal"
"15",15,"why","VI_033_820","VI",2.3125,0.5,0.625,1.1875,0.4375,1.5625,0.15,0.6,1.45,1.25,0.15,2.088659857,1.316561177,0.885061203,1.424488212,0.892094913,1.631716887,0.670820393,1.231174023,2.01246118,1.831737743,0.670820393,2.3125,2.635633361,0.283018868,"Auditory",1.45,1.735194828,0.361111111,"Head",2.3125,2.865671085,0.211491443,"Auditory","random","Word1",31454,"C","FA1","Amodal"
"16",16,"anybody","TD_464_188","TD",2.1,0,0.8,0.25,0.2,3.5,0.863636364,1.227272727,2.681818182,1.5,0.909090909,1.83245593,0,1.436369693,0.716350399,0.410391341,1.905670209,1.552124644,1.770978158,2.146677691,1.970013295,1.600865567,3.5,3.748512002,0.510948905,"Visual",2.681818182,2.958960586,0.253164557,"Head",3.5,4.283198358,0.249433107,"Visual","high-volubility","Word7",13191,"A","MA1","Visual"
"17",17,"take","TD_443_341","TD",1.263157895,0.368421053,3.421052632,0.368421053,0.105263158,2.736842105,1.368421053,3.947368421,1.842105263,1.210526316,1.105263158,1.726978906,1.211542924,1.865350413,0.76088591,0.315301768,2.104020101,1.862212731,1.470966584,1.772103518,1.781976037,1.663154193,3.421052632,3.971781644,0.401273885,"Haptic",3.947368421,4.187799701,0.3,"Hand_arm",3.947368421,5.143814305,0.216617211,"Hand_arm","high-volubility","Word2",4726,"C","FA1","Amodal"
"18",18,"know","VI_012_562","VI",1.294117647,0.235294118,0.294117647,2.705882353,0.176470588,1.470588235,0.571428571,1,4.238095238,0.952380952,0.666666667,1.531531337,0.437237316,0.587867532,1.72353945,0.392952624,1.545867356,0.978336781,1.449137675,1.578124263,1.745743122,1.154700538,2.705882353,2.931931757,0.40952381,"Interoceptive",4.238095238,4.281206312,0.493589744,"Head",4.238095238,4.697729482,0.298538192,"Head","high-volubility","Word3",24884,"A","FAE","Amodal"
"19",19,"side","VI_014_242","VI",0.956521739,0.086956522,2,0.47826087,0.043478261,4,1.25,2.041666667,1.791666667,1.333333333,1.916666667,1.397343612,0.288104066,1.954016842,1.038773981,0.208514414,1.566698904,1.823756277,1.876146992,2.042572263,1.970801352,2.083405796,4,4.179058419,0.522988506,"Visual",2.041666667,2.948239753,0.095,"Hand_arm",4,4.620009477,0.248860529,"Visual","random","Word9",38732,"C","FA1","Visual"
"20",20,"a","VI_047_440","VI",2.214285714,0,0.428571429,0,0,2.428571429,0,0.357142857,1.071428571,0.357142857,0,2.259290952,0,0.937614462,0,0,2.408775166,0,1.33630621,2.129076568,1.33630621,0,2.428571429,2.934084965,0.478873239,"Visual",1.071428571,1.097256009,0.6,"Head",2.428571429,2.984369628,0.354166667,"Visual","random","Word6",43704,"C","MA3","Amodal"
"21",21,"tiny","TD_449_716","TD",0.894736842,0.368421053,2.894736842,0.684210526,0.210526316,3.894736842,0.8,1.65,2.6,0.6,0.85,1.629408101,1.011628298,1.791794161,1.157230006,0.917662935,1.523692038,1.281446551,1.424411236,1.93036675,1.187655807,1.460893742,3.894736842,4.387006256,0.411764706,"Visual",2.6,2.860676075,0.307692308,"Head",3.894736842,4.759876768,0.238500852,"Visual","random","Word4",21419,"C","FA1","Multimodal"
"22",22,"why","TD_447_448","TD",2.3125,0.5,0.625,1.1875,0.4375,1.5625,0.15,0.6,1.45,1.25,0.15,2.088659857,1.316561177,0.885061203,1.424488212,0.892094913,1.631716887,0.670820393,1.231174023,2.01246118,1.831737743,0.670820393,2.3125,2.635633361,0.283018868,"Auditory",1.45,1.735194828,0.361111111,"Head",2.3125,2.865671085,0.211491443,"Auditory","random","Word2",17996,"A","MA1","Amodal"
"23",23,"the","TD_472_829","TD",1.055555556,0.111111111,0,0.166666667,0.166666667,0.944444444,0.1,0.1,1,0.85,0.1,1.625973816,0.471404521,0,0.707106781,0.707106781,1.589384721,0.447213595,0.447213595,1.685854461,1.755442664,0.447213595,1.055555556,1.266012567,0.431818182,"Auditory",1,1.173765113,0.418604651,"Head",1.055555556,1.539157705,0.22974607,"Auditory","high-volubility","Word6",9622,"C","FA1","Amodal"
"24",24,"want","VI_001_676","VI",0.8125,0.6875,0.75,3.375,0.9375,2.375,0.578947368,1.210526316,3.578947368,1.789473684,1.105263158,1.470544117,1.138346754,1.483239697,1.784189825,1.481834449,2.156385865,0.96123702,1.548438187,1.70996392,1.652571981,1.663154193,3.375,3.778526657,0.300699301,"Interoceptive",3.578947368,3.800430575,0.363057325,"Head",3.578947368,4.774483755,0.174411933,"Head","high-volubility","Word2",42111,"C","UC1","Amodal"
"25",25,"and","TD_447_448","TD",1.842105263,0.157894737,0.421052632,0.473684211,0.210526316,1.315789474,0.315789474,0.631578947,0.947368421,1.368421053,0.368421053,2.115108558,0.688247202,1.304513084,0.964274111,0.713282504,1.857496271,1.157230006,1.570934835,1.71508614,1.94965884,1.211542924,1.842105263,2.058531763,0.380952381,"Auditory",1.368421053,1.553087555,0.289855072,"Mouth",1.842105263,2.318893547,0.209150327,"Auditory","random","Word1",18516,"A","FA1","Amodal"
"26",26,"sky","TD_465_541","TD",0.315789474,0.105263158,0.052631579,0.526315789,0.105263158,4.736842105,0.421052632,0.526315789,3.894736842,0.315789474,0.526315789,0.582392725,0.458831468,0.229415734,1.172292202,0.458831468,0.653376296,0.837707817,1.020262551,1.559727072,0.671038298,1.020262551,4.736842105,4.739511166,0.801801802,"Visual",3.894736842,3.903457195,0.62962963,"Head",4.736842105,5.495206516,0.406392694,"Visual","high-volubility","Word6",12705,"C","FA1","Visual"
"27",27,"behind","TD_444_402","TD",0.947368421,0.105263158,1,1.052631579,0.368421053,3.526315789,1.842105263,1.263157895,3,0.684210526,1.789473684,1.268143184,0.458831468,1.527525232,1.840099158,1.011628298,1.389181256,1.641921567,1.557851272,1.855921454,1.157230006,1.652571981,3.526315789,3.606705329,0.488721805,"Visual",3,3.457080071,0.26993865,"Head",3.526315789,4.451901639,0.219594595,"Visual","random","Word8",22279,"C","FA1","Multimodal"
"28",28,"had","TD_449_716","TD",1.1,0.45,0.95,1.1,0.4,2,0.55,1.5,2.05,1,0.6,1.83245593,1.276302225,1.571958216,1.860956178,1.187655807,2.17642875,0.887041208,1.762175689,1.731290969,1.55597321,0.994722918,2,2.268538199,0.266666667,"Visual",2.05,2.373581794,0.263157895,"Head",2.05,2.925848976,0.141025641,"Head","high-volubility","Word3",21613,"A","FA1","Amodal"
"29",29,"was","VI_001_676","VI",0.611111111,0.055555556,0.111111111,1.166666667,0.055555556,0.833333333,0.263157895,0.315789474,1.842105263,0.789473684,0.105263158,1.195033295,0.23570226,0.323380833,1.886484437,0.23570226,1.294785924,0.733492806,0.749268649,2.217685427,1.474936811,0.315301768,1.166666667,1.338234278,0.392156863,"Interoceptive",1.842105263,1.893964923,0.523809524,"Head",1.842105263,2.094654009,0.290537328,"Head","random","Word5",42284,"A","UC1","Amodal"
"30",30,"it","VI_003_405","VI",2.375,1.75,1.6875,1.625,1.9375,2.9375,0.473684211,1.947368421,2.315789474,1.052631579,0.684210526,2.093641166,2.081665999,1.990602924,2.028957039,2.14378948,1.87860764,1.020262551,1.928548222,2.109571615,1.508261848,1.108183277,2.9375,3.925125973,0.106598985,"Visual",2.315789474,2.776207518,0.284552846,"Head",2.9375,4.342185164,0.131150411,"Visual","high-volubility","Word2",33538,"A","MA1","Amodal"
"31",31,"a","VI_012_562","VI",2.214285714,0,0.428571429,0,0,2.428571429,0,0.357142857,1.071428571,0.357142857,0,2.259290952,0,0.937614462,0,0,2.408775166,0,1.33630621,2.129076568,1.33630621,0,2.428571429,2.934084965,0.478873239,"Visual",1.071428571,1.097256009,0.6,"Head",2.428571429,2.984369628,0.354166667,"Visual",NA,"Word4",24372,"A","UC1","Amodal"
"32",32,"too","TD_444_402","TD",1.684210526,0.263157895,0.368421053,0.578947368,0.157894737,1.315789474,0.352941176,0.941176471,1.647058824,1.176470588,0.352941176,1.733738144,0.733492806,0.955133866,1.216360211,0.501459857,1.66842013,0.861769725,1.599632311,2.11958653,1.944070926,0.785905248,1.684210526,1.941790711,0.34939759,"Auditory",1.647058824,1.914579911,0.289473684,"Head",1.684210526,2.429482208,0.17267951,"Auditory","random","Word5",22256,"C","FA1","Amodal"
"33",33,"do","TD_465_541","TD",1.217391304,0.956521739,1.347826087,2.47826087,0.826086957,1.695652174,3.736842105,3.947368421,3.578947368,2.947368421,3.368421053,1.756973683,1.795911034,2.058434879,1.780438282,1.749082199,1.769303474,1.75885396,1.649029486,1.67715995,2.040525102,1.891810606,2.47826087,2.954420301,0.193877551,"Interoceptive",3.947368421,6.067324764,0.056886228,"Hand_arm",3.947368421,6.292381131,0.119586183,"Hand_arm","high-volubility","Word4",12686,"C","FA1","Amodal"
"34",34,"not","VI_033_820","VI",1.564102564,0.487179487,0.512820513,0.948717949,0.512820513,1.487179487,0.157894737,0.421052632,2.052631579,1.631578947,0.210526316,1.846687957,1.295169058,1.315330554,1.503482238,1.315330554,1.804552647,0.501459857,1.017392608,2.120631044,2.060488785,0.713282504,1.564102564,2.029149067,0.195348837,"Auditory",2.052631579,2.356124267,0.423529412,"Head",2.052631579,2.7778229,0.18972973,"Head","random","Word2",30716,"A","MA1","Amodal"
"35",35,"how","VI_008_707","VI",1.8,0.666666667,1.333333333,1.133333333,0.733333333,1.666666667,0.941176471,1.058823529,2.529411765,2.117647059,1,1.934646516,1.496026483,1.718249386,1.641718032,1.579632266,1.951800146,1.784327192,1.819017188,2.153997651,2.204607475,1.903943276,1.8,2.465026098,0.154545455,"Auditory",2.529411765,3.061692401,0.207692308,"Head",2.529411765,3.521730209,0.12434555,"Head","random","Word1",35080,"A","MA1","Amodal"
"36",36,"oh","VI_008_707","VI",2.555555556,0.166666667,0,0.944444444,0.166666667,0.555555556,0.052631579,0.526315789,1.578947368,2.894736842,0.263157895,2.254987211,0.707106781,0,1.589384721,0.514495755,1.293523334,0.229415734,1.348596845,1.952656011,2.35454022,0.653376296,2.555555556,2.606744542,0.582278481,"Auditory",2.894736842,3.049441773,0.534653465,"Mouth",2.894736842,3.584869199,0.298282615,"Mouth","random","Word1",35539,"C","FA2","Amodal"
"37",37,"coat","TD_473_844","TD",0.361111111,0,4,0.527777778,0.666666667,3.861111111,0.333333333,2.857142857,0.476190476,0.095238095,2.904761905,1.099422648,0,1.171080088,1.319872529,1.309307341,1.355470984,0.912870929,1.878449208,1.077916862,0.300792604,2.211442107,4,4.960387444,0.424778761,"Haptic",2.904761905,3.633706974,0.421428571,"Torso",4,5.539998973,0.248704663,"Haptic","high-volubility","Word4",20665,"C","FA1","Multimodal"
"38",38,"oh","VI_012_562","VI",2.555555556,0.166666667,0,0.944444444,0.166666667,0.555555556,0.052631579,0.526315789,1.578947368,2.894736842,0.263157895,2.254987211,0.707106781,0,1.589384721,0.514495755,1.293523334,0.229415734,1.348596845,1.952656011,2.35454022,0.653376296,2.555555556,2.606744542,0.582278481,"Auditory",2.894736842,3.049441773,0.534653465,"Mouth",2.894736842,3.584869199,0.298282615,"Mouth","high-volubility","Word1",24094,"C","FA1","Amodal"
"39",39,"really","TD_463_254","TD",1.842105263,0.473684211,0.578947368,0.736842105,0.473684211,1.684210526,0.3,0.6,1.3,1.35,0.3,2.088677356,1.306752593,1.346426937,1.557851272,1.306752593,1.945154423,0.97872097,1.142481141,1.592746717,1.78517285,0.97872097,1.842105263,2.278884327,0.236363636,"Auditory",1.35,1.701656402,0.272727273,"Mouth",1.842105263,2.559242959,0.15997816,"Auditory",NA,"Word3",960,"C","FA1","Amodal"
"40",40,"way","TD_472_829","TD",1.375,0.5,0.875,1.0625,0.6875,4,0.85,0.65,2.1,0.6,0.35,1.927865832,1.414213562,1.454876856,1.730847577,1.579820665,1.751190072,1.308876577,0.988086934,2.049390153,1.313893371,0.812727701,4,4.099959256,0.411764706,"Visual",2.1,2.183389014,0.384615385,"Head",4,4.296762848,0.279693487,"Visual","high-volubility","Word3",10001,"C","FA1","Multimodal"
"41",41,"for","VI_033_820","VI",1.052631579,0,0.210526316,0.105263158,0.052631579,1,0.55,0.6,1.65,1.2,0.45,1.682382048,0,0.713282504,0.315301768,0.229415734,1.452966315,1.431782106,1.429022485,2.058998223,1.794729125,1.394538218,1.052631579,1.296041952,0.434782609,"Auditory",1.65,1.884605522,0.269662921,"Head",1.65,2.070068123,0.240137878,"Head","random","Word5",32234,"C","FA1","Amodal"
"42",42,"really","VI_033_820","VI",1.842105263,0.473684211,0.578947368,0.736842105,0.473684211,1.684210526,0.3,0.6,1.3,1.35,0.3,2.088677356,1.306752593,1.346426937,1.557851272,1.306752593,1.945154423,0.97872097,1.142481141,1.592746717,1.78517285,0.97872097,1.842105263,2.278884327,0.236363636,"Auditory",1.35,1.701656402,0.272727273,"Mouth",1.842105263,2.559242959,0.15997816,"Auditory","random","Word8",31574,"C","FA1","Amodal"
"43",43,"mix","TD_445_217","TD",1.388888889,0.833333333,1.777777778,0,0.5,3.111111111,0.047619048,3.095238095,2,0.333333333,0.571428571,1.500544563,1.294785924,1.628985811,0,0.923548145,1.745208192,0.21821789,2.165750722,2.167948339,1.110555417,1.502379066,3.111111111,3.39451324,0.408759124,"Visual",3.095238095,3.358363568,0.503937008,"Hand_arm",3.111111111,4.254167724,0.22777455,"Visual","random","Word5",3156,"C","FA1","Amodal"
"44",44,"the","VI_033_820","VI",1.055555556,0.111111111,0,0.166666667,0.166666667,0.944444444,0.1,0.1,1,0.85,0.1,1.625973816,0.471404521,0,0.707106781,0.707106781,1.589384721,0.447213595,0.447213595,1.685854461,1.755442664,0.447213595,1.055555556,1.266012567,0.431818182,"Auditory",1,1.173765113,0.418604651,"Head",1.055555556,1.539157705,0.22974607,"Auditory","random","Word4",32411,"A","FA1","Amodal"
"45",45,"be","VI_012_562","VI",1.705882353,1.058823529,1.294117647,2.029411765,1.029411765,1.823529412,1.578947368,1.842105263,3,1.473684211,1.842105263,2.096597702,1.808082468,1.931076192,2.066842037,1.800425777,2.152807726,1.865350413,1.863782233,2.02758751,1.925513526,1.833732014,2.029411765,2.877723252,0.111842105,"Interoceptive",3,3.599555574,0.156756757,"Head",3,4.130488305,0.105503066,"Head","random","Word6",24560,"A","UC1","Amodal"
"46",46,"toast","VI_005_411","VI",0.823529412,4.647058824,3.352941176,0.529411765,3.529411765,4.294117647,0.238095238,2.761904762,1.523809524,3.714285714,0.428571429,1.236693885,0.606339063,1.693412844,1.23073388,1.504893977,0.919558718,0.889087279,1.729299335,1.749829924,1.927248223,1.075705748,4.647058824,6.398025806,0.239726027,"Gustatory",3.714285714,4.234719961,0.401098901,"Mouth",4.647058824,6.964734862,0.170604812,"Gustatory","random","Word4",29355,"C","FA1","Multimodal"
"47",47,"respect","TD_448_304","TD",2.368421053,0.263157895,0.631578947,2.105263158,0.263157895,2.947368421,0.4,0.85,2.8,1.75,0.8,1.832136771,0.933458638,1.256561725,1.940639552,0.933458638,2.013114895,0.88257995,1.225818738,2.142305693,1.943274502,1.399247918,2.947368421,3.647026618,0.312883436,"Visual",2.8,3.05461096,0.363636364,"Head",2.947368421,4.254502875,0.176837725,"Visual","random","Word5",15513,"A","FA2","Amodal"
"48",48,"couple","TD_444_402","TD",1.882352941,0,0.176470588,0.352941176,0,3.941176471,0.894736842,1.473684211,1.736842105,1.368421053,0.684210526,1.363925994,0,0.52859414,0.785905248,0,1.29762226,1.594948165,1.925513526,2.104020101,2.005839428,1.416279617,3.941176471,4.080392241,0.62037037,"Visual",1.736842105,2.291901382,0.170940171,"Head",3.941176471,4.30843538,0.315021034,"Visual","high-volubility","Word4",22464,"A","FA1","Visual"
"49",49,"got","TD_474_966","TD",1.5,0.5,2.25,1.8125,0.5,2.75,0.888888889,1.722222222,0.944444444,1,0.555555556,2.12916259,1.414213562,2.113448998,1.641899307,1.414213562,1.693123347,1.490711985,2.052417672,1.474178624,1.414213562,1.199128224,2.75,3.469582559,0.241610738,"Visual",1.722222222,1.985259713,0.22826087,"Hand_arm",2.75,3.673965346,0.155994222,"Visual","high-volubility","Word6",14756,"C","FA1","Amodal"
"50",50,"she","VI_001_676","VI",2.263157895,0.736842105,2.052631579,1.105263158,1.157894737,3.578947368,0.526315789,0.842105263,2.473684211,1.421052632,1,1.910267732,1.521771821,1.870047064,1.728671193,1.607729866,1.67715995,1.123902974,1.384965218,2.143942916,1.70996392,1.490711985,3.578947368,4.109178244,0.260869565,"Visual",2.473684211,2.70303182,0.31092437,"Head",3.578947368,4.466989318,0.17791411,"Visual","high-volubility","Word1",40532,"A","MA1","Multimodal"
"51",51,"are","TD_465_541","TD",1.5625,0.375,0.375,0.6875,0.3125,0.9375,1.285714286,1.285714286,2.047619048,1.666666667,1.047619048,1.998958062,1.258305739,1.258305739,1.701714821,1.25,1.806239187,1.847778589,1.764733893,1.909874092,1.906130461,1.687488977,1.5625,1.721256673,0.294117647,"Auditory",2.047619048,2.650267842,0.136363636,"Head",2.047619048,2.873030897,0.14979445,"Head","random","Word2",12847,"C","FA1","Amodal"
"52",52,"oh","TD_477_217","TD",2.555555556,0.166666667,0,0.944444444,0.166666667,0.555555556,0.052631579,0.526315789,1.578947368,2.894736842,0.263157895,2.254987211,0.707106781,0,1.589384721,0.514495755,1.293523334,0.229415734,1.348596845,1.952656011,2.35454022,0.653376296,2.555555556,2.606744542,0.582278481,"Auditory",2.894736842,3.049441773,0.534653465,"Mouth",2.894736842,3.584869199,0.298282615,"Mouth","high-volubility","Word1",11269,"C","UC1","Amodal"
"53",53,"of","TD_474_966","TD",1.5625,0.625,0.625,1.0625,0.625,1.0625,0.176470588,0.176470588,0.764705882,0.470588235,0,2.032035105,1.707825128,1.707825128,2.015564437,1.707825128,1.982212568,0.727606875,0.727606875,1.678146737,1.374665735,0,1.5625,1.908003627,0.168539326,"Auditory",0.764705882,0.825425802,0.481481481,"Head",1.5625,1.958166969,0.218508997,"Auditory","high-volubility","Word11",14764,"C","FA1","Amodal"
"54",54,"two","VI_002_336","VI",1.882352941,0.823529412,2.294117647,0.647058824,0.529411765,3.764705882,1.571428571,1.904761905,1.904761905,0.714285714,0.380952381,1.996320144,1.550616576,2.312052818,1.538716042,1.328422328,1.855040827,2.03890727,1.972429008,1.972429008,1.419255338,1.160869953,3.764705882,4.180838012,0.325443787,"Visual",1.904761905,2.626628958,0.235294118,"Hand_arm",3.764705882,4.501236733,0.206108173,"Visual","high-volubility","Word3",37734,"A","FA1","Multimodal"
"55",55,"good","TD_444_402","TD",2.529411765,1.882352941,1.941176471,2.764705882,2.058823529,3,1.3,1.5,3.25,1.9,1.15,2.034626718,1.96476312,2.164214298,1.751050105,2.075770587,1.767766953,1.949358869,2.090076805,1.970172314,1.997366687,1.87153188,3,4.4314968,0.078838174,"Visual",3.25,3.64129407,0.230769231,"Head",3.25,5.133806684,0.090219864,"Head","high-volubility","Word2",22135,"U","FA2","Amodal"
"56",56,"let","VI_018_924","VI",1.352941176,0.117647059,0.352941176,1,0.235294118,1.764705882,0.833333333,1.277777778,2.166666667,1.777777778,0.666666667,1.868862504,0.332105582,0.606339063,1.457737974,0.752446989,1.92124347,1.200490096,1.447332457,1.977818168,1.733936547,0.907485213,1.764705882,2.082448945,0.341463415,"Visual",2.166666667,2.65670311,0.223140496,"Head",2.166666667,3.028685399,0.177469573,"Head","random","Word6",44623,"A","MC1","Amodal"
"57",57,"on","VI_018_924","VI",2.235294118,0.058823529,0.647058824,0.470588235,0.176470588,3.411764706,1.052631579,2.421052632,2.052631579,1.052631579,1,2.165912388,0.242535625,1.411611511,1.067570083,0.52859414,2.063335392,1.809655713,2.16835292,2.040525102,1.682382048,1.666666667,3.411764706,3.714792879,0.478991597,"Visual",2.421052632,2.969015789,0.1875,"Hand_arm",3.411764706,4.262317439,0.229985135,"Visual","random","Word6",44467,"C","FA1","Amodal"
"58",58,"is","VI_047_440","VI",1.526315789,0.631578947,0.578947368,1.263157895,0.684210526,1.684210526,1.105263158,1.157894737,2.105263158,1.578947368,1.315789474,2.091475318,1.605910137,1.57465303,2.104020101,1.66842013,2.161600014,1.822535988,1.772103518,2.208436773,2.008752777,2.029029094,1.684210526,2.231695812,0.173553719,"Visual",2.105263158,2.642300122,0.137681159,"Head",2.105263158,3.092063091,0.111969112,"Head","high-volubility","Word1",43906,"A","FA5","Amodal"
