"","...1","Word","VIHI_ID","group","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD","Max_strength.perceptual","Minkowski3.perceptual","Exclusivity.perceptual","Dominant.perceptual","Max_strength.action","Minkowski3.action","Exclusivity.action","Dominant.action","Max_strength.sensorimotor","Minkowski3.sensorimotor","Exclusivity.sensorimotor","Dominant.sensorimotor","sampling_type","utt_loc","uttnum","xds","speaker","Modality"
"197",197,"for","VI_013_206","VI",1.052631579,0,0.210526316,0.105263158,0.052631579,1,0.55,0.6,1.65,1.2,0.45,1.682382048,0,0.713282504,0.315301768,0.229415734,1.452966315,1.431782106,1.429022485,2.058998223,1.794729125,1.394538218,1.052631579,1.296041952,0.434782609,"Auditory",1.65,1.884605522,0.269662921,"Head",1.65,2.070068123,0.240137878,"Head","random","Word6",26938,"C","FA1","Amodal"
"198",198,"super","TD_445_217","TD",1.142857143,0.19047619,0.238095238,0.380952381,0.333333333,1.428571429,0.952380952,1.523809524,2.285714286,1.19047619,1.095238095,1.525965736,0.511766316,0.624880941,0.74001287,0.966091783,1.630074494,1.465475707,1.721018525,2.028370211,1.470341716,1.70014005,1.428571429,1.653514891,0.333333333,"Visual",2.285714286,2.684445506,0.189189189,"Head",2.285714286,2.879107606,0.194690265,"Head","high-volubility","Word1",3026,"A","FA1","Amodal"
"199",199,"that","TD_447_448","TD",1.315789474,0.789473684,1.210526316,0.947368421,0.842105263,2.052631579,0.45,0.55,1.5,0.75,0.3,1.765491168,1.474936811,1.685854461,1.682382048,1.462993806,2.013114895,1.099042646,1.099042646,2.115108558,1.332784975,0.732695097,2.052631579,2.446308109,0.176470588,"Visual",1.5,1.598093432,0.338028169,"Head",2.052631579,2.655281665,0.163676579,"Visual","random","Word8",17999,"A","MA1","Amodal"
"200",200,"your","VI_004_415","VI",1.166666667,0.166666667,0.666666667,1.277777778,0.166666667,1,0.857142857,1,1.80952381,1.476190476,0.619047619,1.653872461,0.707106781,1.283377896,1.934381055,0.707106781,1.644956642,1.768776817,1.760681686,2.182178902,1.9136104,1.499206139,1.277777778,1.707666276,0.25,"Interoceptive",1.80952381,2.224576654,0.20661157,"Head",1.80952381,2.519244605,0.16096423,"Head","random","Word5",25121,"C","FA1","Amodal"
"201",201,"it","TD_443_341","TD",2.375,1.75,1.6875,1.625,1.9375,2.9375,0.473684211,1.947368421,2.315789474,1.052631579,0.684210526,2.093641166,2.081665999,1.990602924,2.028957039,2.14378948,1.87860764,1.020262551,1.928548222,2.109571615,1.508261848,1.108183277,2.9375,3.925125973,0.106598985,"Visual",2.315789474,2.776207518,0.284552846,"Head",2.9375,4.342185164,0.131150411,"Visual","high-volubility","Word12",4814,"A","FA1","Amodal"
"202",202,"with","TD_445_217","TD",2.5625,1.1875,2.125,1.4375,1.1875,3.5,0.7,0.7,2.05,0.5,0.5,1.896268265,1.796988221,1.892969449,1.896268265,1.721191448,1.825741858,1.218281793,1.174285897,1.932410548,1.147078669,1,3.5,4.228690551,0.192708333,"Visual",2.05,2.121704234,0.348314607,"Head",3.5,4.399721474,0.182370821,"Visual","random","Word4",1742,"A","FA2","Multimodal"
"203",203,"was","VI_008_707","VI",0.611111111,0.055555556,0.111111111,1.166666667,0.055555556,0.833333333,0.263157895,0.315789474,1.842105263,0.789473684,0.105263158,1.195033295,0.23570226,0.323380833,1.886484437,0.23570226,1.294785924,0.733492806,0.749268649,2.217685427,1.474936811,0.315301768,1.166666667,1.338234278,0.392156863,"Interoceptive",1.842105263,1.893964923,0.523809524,"Head",1.842105263,2.094654009,0.290537328,"Head","high-volubility","Word2",36462,"A","FA1","Amodal"
"204",204,"thing","TD_448_304","TD",2.6,2.15,2.8,1.6,2.3,3.6,1.05,1.75,2,0.7,0.9,1.788854382,1.725200217,1.7651599,1.729009452,1.866604009,1.500876937,1.637552731,2.221308292,2.152110347,1.417930293,1.586124041,3.6,4.825806822,0.132890365,"Visual",2,2.498078524,0.203125,"Head",3.6,5.03934787,0.135198135,"Visual","random","Word5",15499,"A","MA1","Multimodal"
"205",205,"lay","TD_467_433","TD",0.263157895,0,1.578947368,2.368421053,0.052631579,2.315789474,2.705882353,2.823529412,3.529411765,0.588235294,3.117647059,0.733492806,0,1.67715995,1.832136771,0.229415734,2.135744252,1.829094922,1.91165158,2.003673098,1.371988681,1.833110503,2.368421053,3.095434534,0.36,"Interoceptive",3.529411765,4.888089938,0.230414747,"Head",3.529411765,5.27107505,0.182458387,"Head","high-volubility","Word6",17053,"C","FA1","Amodal"
"206",206,"hey","VI_005_411","VI",3.555555556,0.166666667,0.444444444,0.611111111,0.277777778,0.944444444,0.421052632,1.842105263,1.947368421,3.578947368,0.421052632,1.822158456,0.514495755,1.247219129,1.195033295,0.826442095,1.731107168,0.837707817,2.167004022,2.172394588,1.502434671,0.96123702,3.555555556,3.586517078,0.564814815,"Auditory",3.578947368,3.90674596,0.384615385,"Mouth",3.578947368,4.729065333,0.240123457,"Mouth","random","Word1",28909,"C","MA1","Auditory"
"207",207,"all","VI_033_820","VI",2.125,0.8125,2.0625,1.3125,0.8125,3.25,1.571428571,2.047619048,2.666666667,2,1.523809524,2.276693509,1.682012683,2.112463017,2.023816527,1.682012683,1.807392228,2.014235055,2.108937896,2.352303835,2.19089023,2.112322126,3.25,3.826573889,0.234939759,"Visual",2.666666667,3.502497543,0.116504854,"Head",3.25,4.626035418,0.120760838,"Visual","random","Word4",31550,"C","FA1","Amodal"
"208",208,"they","VI_005_411","VI",2.5625,0.3125,0.5,1.0625,0.5,3.0625,1,2.263157895,3.105263158,2.263157895,1,1.931105038,1.25,1.414213562,1.913765921,1.414213562,1.982212568,1.699673171,1.995609215,1.911797782,2.281376418,1.795054936,3.0625,3.609575764,0.34375,"Visual",3.105263158,3.805860244,0.218579235,"Head",3.105263158,4.674702689,0.158395522,"Head","random","Word1",29682,"C","FA1","Amodal"
"209",209,"with","VI_047_440","VI",2.5625,1.1875,2.125,1.4375,1.1875,3.5,0.7,0.7,2.05,0.5,0.5,1.896268265,1.796988221,1.892969449,1.896268265,1.721191448,1.825741858,1.218281793,1.174285897,1.932410548,1.147078669,1,3.5,4.228690551,0.192708333,"Visual",2.05,2.121704234,0.348314607,"Head",3.5,4.399721474,0.182370821,"Visual","random","Word2",43452,"A","FA1","Multimodal"
"210",210,"that","VI_012_562","VI",1.315789474,0.789473684,1.210526316,0.947368421,0.842105263,2.052631579,0.45,0.55,1.5,0.75,0.3,1.765491168,1.474936811,1.685854461,1.682382048,1.462993806,2.013114895,1.099042646,1.099042646,2.115108558,1.332784975,0.732695097,2.052631579,2.446308109,0.176470588,"Visual",1.5,1.598093432,0.338028169,"Head",2.052631579,2.655281665,0.163676579,"Visual","high-volubility","Word5",23845,"A","FA1","Amodal"
"211",211,"it","VI_012_562","VI",2.375,1.75,1.6875,1.625,1.9375,2.9375,0.473684211,1.947368421,2.315789474,1.052631579,0.684210526,2.093641166,2.081665999,1.990602924,2.028957039,2.14378948,1.87860764,1.020262551,1.928548222,2.109571615,1.508261848,1.108183277,2.9375,3.925125973,0.106598985,"Visual",2.315789474,2.776207518,0.284552846,"Head",2.9375,4.342185164,0.131150411,"Visual","random","Word2",23030,"C","MA1","Amodal"
"212",212,"as","TD_477_217","TD",1.294117647,0.176470588,0.352941176,0.411764706,0.235294118,1.117647059,0.333333333,0.333333333,1.277777778,0.444444444,0.388888889,1.862951485,0.52859414,0.861769725,0.870260272,0.664211164,1.691240408,0.9701425,0.9701425,1.742397117,0.983524408,0.978527639,1.294117647,1.546081712,0.31147541,"Auditory",1.277777778,1.321330022,0.34,"Head",1.294117647,1.817386315,0.175564682,"Auditory","random","Word2",10959,"C","MA1","Amodal"
