"","VIHI_ID","mean_distance","min_distance","max_distance","range_distance","sd_distance"
"1","HI_423_959",1.48759332060949,0,1.81045320616761,1.81045320616761,0.213273802069539
"2","HI_424_527",1.41016238060369,0,1.80165601079704,1.80165601079704,0.326223522055894
"3","HI_425_644",1.50018343027428,0,1.81014249479377,1.81014249479377,0.179054575693106
"4","HI_426_537",1.47093682526471,0,1.72267951216765,1.72267951216765,0.266334389164836
"5","HI_427_428",1.50143832409086,0,1.78979402641928,1.78979402641928,0.210035325153199
"6","HI_428_532",1.48294293045557,0,1.77915112093657,1.77915112093657,0.237145865873284
"7","HI_429_492",1.51410691813922,0,1.80122691094188,1.80122691094188,0.188421068417593
"8","HI_430_659",1.51163034091845,0,1.7766133111431,1.7766133111431,0.167979735750811
"9","HI_431_648",1.51005631441845,0,1.82171731577092,1.82171731577092,0.198151192090627
"10","HI_432_754",1.47884478323527,0,1.76020136066269,1.76020136066269,0.282994576475918
"11","HI_433_721",1.44525462701381,0,1.7125255466146,1.7125255466146,0.379474221438192
"12","HI_434_530",1.50877990919739,0,1.80227517841757,1.80227517841757,0.232083931293366
"13","HI_435_996",1.48393041930888,0,1.77862433072952,1.77862433072952,0.294110604945658
"14","HI_436_766",1.49080122192024,0,1.84558421705076,1.84558421705076,0.233224593687389
"15","HI_437_434",1.51945071815675,0,1.76049614036464,1.76049614036464,0.154948790511141
"16","HI_439_500",1.52322294863942,0,1.82206687315399,1.82206687315399,0.148056062107418
"17","TD_419_961",1.48611197361708,0,1.71698185657079,1.71698185657079,0.224674550206439
"18","TD_420_268",1.51243045252285,0,1.81014249479377,1.81014249479377,0.179860792306048
"19","TD_421_536",1.35458210763419,0,1.74082185972101,1.74082185972101,0.407482023390873
"20","TD_422_217",1.51250809894307,0,1.78391689877441,1.78391689877441,0.181662721079684
"21","TD_423_184",1.51837949443276,0,1.82206687315399,1.82206687315399,0.181547286967633
"22","TD_424_676",1.42673194099961,0,1.70494443220756,1.70494443220756,0.384304948145842
"23","TD_425_194",1.5195362319839,0,1.79974630171333,1.79974630171333,0.185154280005986
"24","TD_426_429",1.5085175302215,0,1.81014249479377,1.81014249479377,0.205425928600537
"25","TD_428_188",1.47820043099894,0,1.75234015063925,1.75234015063925,0.271944056944931
"26","TD_429_190",1.50445321965995,0,1.79317520764199,1.79317520764199,0.172741111997622
"27","TD_430_493",1.51622927885594,0,1.80227517841757,1.80227517841757,0.161350115353951
"28","TD_431_248",1.53024053992383,0,1.78338101442179,1.78338101442179,0.136462608733291
"29","TD_433_522",1.48128004178006,0,1.78316151677003,1.78316151677003,0.2343610809238
"30","TD_434_249",1.51807136276837,0,1.84558421705076,1.84558421705076,0.158120613084658
"31","TD_435_205",1.51115723672306,0,1.78687574677734,1.78687574677734,0.182011971503933
"32","TD_436_678",1.50895875874162,0,1.80165601079704,1.80165601079704,0.184527894411328
"33","TD_437_564",1.50022773397605,0,1.76609665017071,1.76609665017071,0.206749999775623
"34","TD_438_522",1.4943957901229,0,1.80649374377065,1.80649374377065,0.226613019260296
"35","TD_439_192",1.51074732907468,0,1.74022439031402,1.74022439031402,0.195982898325782
"36","TD_440_189",1.4895781852597,0,1.78008691566051,1.78008691566051,0.187744397781803
"37","TD_441_732",1.46603533814422,0,1.70936152261607,1.70936152261607,0.265611842166517
"38","TD_442_763",1.49163671942424,0,1.70626753294282,1.70626753294282,0.216986819769132
"39","TD_443_341",1.49884852158438,0,1.75536715856307,1.75536715856307,0.226010735654082
"40","TD_444_402",1.52243716740901,0,1.78461266441797,1.78461266441797,0.187244533031181
"41","TD_445_217",1.50779281699537,0,1.81045856919492,1.81045856919492,0.183472863909505
"42","TD_447_448",1.50522590822261,0,1.79253636632139,1.79253636632139,0.186554724447687
"43","TD_448_304",1.52726013792283,0,1.76158650472444,1.76158650472444,0.189377683995342
"44","TD_449_716",1.4477165848828,0,1.74389899259424,1.74389899259424,0.309444331499784
"45","TD_450_183",1.51728042892653,0,1.74943917590307,1.74943917590307,0.166830054402067
"46","TD_451_521",1.45792998072991,0,1.70000741730429,1.70000741730429,0.26918933346547
"47","TD_452_277",1.50890337777305,0,1.80227517841757,1.80227517841757,0.194743620745743
"48","TD_453_998",1.48820747509815,0,1.76691445768515,1.76691445768515,0.213105352282339
"49","TD_454_510",1.51122253142572,0,1.83194050240624,1.83194050240624,0.186764246948937
"50","TD_455_248",1.51315098128678,0,1.82206687315399,1.82206687315399,0.17507574447822
"51","TD_457_475",1.49793217452933,0,1.78093239361818,1.78093239361818,0.190312749964404
"52","TD_459_188",1.49220464870458,0,1.79311693284587,1.79311693284587,0.217802989324549
"53","TD_461_190",1.46512188246486,0,1.76477287942388,1.76477287942388,0.309861922783801
"54","TD_462_513",1.5149329296489,0,1.80399782225982,1.80399782225982,0.152552917998737
"55","TD_463_254",1.49738352737261,0,1.79164514145289,1.79164514145289,0.185659650452267
"56","TD_464_188",1.50862421598556,0,1.74898968006263,1.74898968006263,0.220956948889524
"57","TD_465_541",1.50091764879663,0,1.82206687315399,1.82206687315399,0.223744926574531
"58","TD_467_433",1.5012063058241,0,1.75138914983235,1.75138914983235,0.194213579626118
"59",NA,1.52976640638884,0,1.88591472539303,1.88591472539303,0.101424954224986
