"","begintime_msec","endtime_msec","duration_msec","context","sampling_type","on_off","code","code_num","vcm","xds","lex","mwu","is_silent","PI","inq","utt","Description","File","File Path","speaker","utterance","VIHI_ID","group"
"20","3233612",3233893,281,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"21","3235132",3235506,374,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"22","3237006",3237538,532,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"23","3237951",3238362,411,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"24","3247362",3247627,265,NA,NA,NA,NA,NA,"N","",NA,NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"25","3248157",3248456,299,NA,NA,NA,NA,NA,"N","",NA,NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"26","3249836",3252339,2503,NA,NA,NA,NA,NA,"N","",NA,NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"27","3252795",3254899,2104,NA,NA,NA,NA,NA,"N","",NA,NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"28","3255147",3255326,179,NA,NA,NA,NA,NA,"N","",NA,NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"29","3257329",3258240,911,NA,NA,NA,NA,NA,"N","",NA,NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
